frame_id,room_amount,window_amount,surface,total_exterior_wall_amount,total_source_energy_consumption_GJ,total_site_energy_consumption_GJ,total_source_energy_consumption_per_surface_MJm2,total_site_energy_consumption_per_surface_MJm2,site_energy_heating_GJ,site_energy_cooling_GJ,site_energy_heating_per_surface_MJm2,site_energy_cooling_per_surface_MJm2,total_window_amount,total_wall_area_m2,wall_area_north_m2,wall_area_east_m2,wall_area_south_m2,wall_area_west_m2,total_window_opening_area_m2,window_opening_area_north_m2,window_opening_area_east_m2,window_opening_area_south_m2,window_opening_area_west_m2,total_window_wall_ratio_percent,window_wall_ratio_north_percent,window_wall_ratio_east_percent,window_wall_ratio_south_percent,window_wall_ratio_west_percent
10,8,9,85.77449999999999,12.0,198.64,59.03,2315.79,688.22,43.1,3.58,502.54,41.73,9.0,100.33,23.13,27.03,23.13,27.03,21.39,0.0,7.8,8.31,5.28,21.32,0.0,28.87,35.9,19.54
10,8,12,85.77449999999999,12.0,205.33,60.56,2393.86,705.99,45.09,3.11,525.73,36.31,12.0,100.33,27.03,23.13,27.03,23.13,24.17,7.89,7.62,4.19,4.47,24.09,29.19,32.95,15.49,19.34
10,8,4,85.77449999999999,12.0,175.64,50.59,2047.71,589.8,37.6,0.64,438.35,7.49,4.0,100.33,27.03,23.13,27.03,23.13,5.36,5.36,0.0,0.0,0.0,5.34,19.83,0.0,0.0,0.0
10,8,8,85.77449999999999,12.0,193.88,57.29,2260.36,667.87,41.97,2.97,489.26,34.65,8.0,100.33,27.03,23.13,27.03,23.13,17.72,0.0,8.31,5.28,4.13,17.66,0.0,35.9,19.54,17.85
10,8,8,85.77449999999999,12.0,201.73,60.15,2351.87,701.21,43.86,3.94,511.28,45.97,8.0,100.33,27.03,23.13,27.03,23.13,21.94,0.0,6.39,5.0,10.55,21.87,0.0,27.62,18.5,45.6
10,8,2,85.77449999999999,12.0,174.97,50.4,2039.9,587.58,37.42,0.64,436.21,7.41,2.0,100.33,23.13,27.03,23.13,27.03,5.11,5.11,0.0,0.0,0.0,5.09,22.09,0.0,0.0,0.0
10,8,10,85.77449999999999,12.0,193.69,57.21,2258.11,667.02,41.92,2.94,488.74,34.32,10.0,100.33,23.13,27.03,23.13,27.03,17.21,0.0,5.28,4.13,7.8,17.16,0.0,19.54,17.85,28.87
10,8,10,85.77449999999999,12.0,203.58,61.12,2373.46,712.6,44.18,4.6,515.02,53.63,10.0,100.33,23.13,27.03,23.13,27.03,23.06,0.0,5.0,10.55,7.51,22.98,0.0,18.5,45.6,27.79
10,8,12,85.77449999999999,12.0,205.4,61.01,2394.69,711.3,44.93,3.73,523.86,43.49,12.0,100.33,23.13,27.03,23.13,27.03,24.78,2.25,10.54,3.22,8.76,24.7,9.71,39.01,13.94,32.42
10,8,9,85.77449999999999,12.0,197.02,58.54,2296.95,682.51,42.68,3.52,497.53,41.02,9.0,100.33,27.03,23.13,27.03,23.13,20.24,0.0,4.13,7.8,8.31,20.17,0.0,17.85,28.87,35.9
10,8,9,85.77449999999999,12.0,205.05,61.36,2390.58,715.38,44.65,4.36,520.57,50.86,9.0,100.33,27.03,23.13,27.03,23.13,24.45,0.0,10.55,7.51,6.39,24.37,0.0,45.6,27.79,27.62
10,8,12,85.77449999999999,12.0,204.51,60.36,2384.33,703.71,44.85,3.16,522.94,36.82,12.0,100.33,27.03,23.13,27.03,23.13,24.78,10.54,3.22,8.76,2.25,24.7,39.01,13.94,32.42,9.71
10,8,3,85.77449999999999,12.0,179.07,51.62,2087.67,601.78,38.51,0.75,449.02,8.8,3.0,100.33,27.03,23.13,27.03,23.13,7.66,7.66,0.0,0.0,0.0,7.63,28.33,0.0,0.0,0.0
11,10,4,126.27109999999999,13.0,258.99,74.7,2051.1,591.55,55.64,1.14,440.65,9.0,4.0,141.21,43.93,42.87,0.0,54.42,11.32,11.32,0.0,0.0,0.0,8.02,25.77,0.0,0.0,0.0
11,10,10,126.27109999999999,13.0,289.78,85.44,2294.88,676.65,63.24,4.28,500.84,33.91,10.0,141.21,43.93,42.87,0.0,54.42,31.56,13.47,4.5,0.0,13.6,22.35,30.67,10.49,0.0,24.99
11,10,4,126.27109999999999,13.0,261.58,75.45,2071.56,597.51,56.34,1.19,446.19,9.42,4.0,141.21,43.93,42.87,0.0,54.42,12.89,12.89,0.0,0.0,0.0,9.13,29.34,0.0,0.0,0.0
11,10,6,126.27109999999999,13.0,263.09,77.06,2083.51,610.28,56.27,2.88,445.59,22.8,6.0,141.21,43.93,42.87,0.0,54.42,15.8,0.0,4.64,0.0,11.16,11.19,0.0,10.82,0.0,20.51
11,10,10,126.27109999999999,13.0,288.69,85.68,2286.3,678.53,62.72,5.04,496.71,39.92,10.0,141.21,42.87,0.0,54.42,43.93,31.56,4.5,0.0,13.6,13.47,22.35,10.49,0.0,24.99,30.67
11,10,7,126.27109999999999,13.0,289.75,84.59,2294.65,669.88,63.58,3.09,503.54,24.45,7.0,141.21,42.87,0.0,54.42,43.93,31.0,18.11,0.0,0.0,12.89,21.95,42.26,0.0,0.0,29.34
11,10,3,126.27109999999999,13.0,254.81,74.36,2017.93,588.9,54.14,2.3,428.77,18.24,3.0,141.21,42.87,0.0,54.42,43.93,11.16,0.0,0.0,11.16,0.0,7.91,0.0,0.0,20.51,0.0
11,10,3,126.27109999999999,13.0,271.94,81.03,2153.63,641.7,58.09,5.02,460.04,39.77,3.0,141.21,42.87,0.0,54.42,43.93,22.6,0.0,0.0,22.6,0.0,16.01,0.0,0.0,41.54,0.0
11,10,6,126.27109999999999,13.0,286.09,83.79,2265.65,663.57,62.48,3.39,494.81,26.87,6.0,141.21,0.0,54.42,43.93,42.87,29.07,0.0,10.96,0.0,18.11,20.59,0.0,20.14,0.0,42.26
11,10,4,126.27109999999999,13.0,266.69,79.23,2112.08,627.5,56.78,4.54,449.65,35.95,4.0,141.21,0.0,54.42,43.93,42.87,17.29,0.0,0.0,17.29,0.0,12.24,0.0,0.0,39.36,0.0
11,10,4,126.27109999999999,13.0,253.8,74.15,2009.98,587.21,53.84,2.39,426.36,18.95,4.0,141.21,0.0,54.42,43.93,42.87,9.78,0.0,0.0,9.78,0.0,6.93,0.0,0.0,22.27,0.0
11,10,10,126.27109999999999,13.0,294.64,87.25,2333.38,690.99,64.39,4.94,509.97,39.12,10.0,141.21,0.0,54.42,43.93,42.87,35.68,0.0,13.61,9.24,12.83,25.27,0.0,25.02,21.03,29.93
11,10,7,126.27109999999999,13.0,272.46,80.48,2157.77,637.34,58.52,4.04,463.46,31.98,7.0,141.21,54.42,43.93,42.87,0.0,21.93,0.0,17.29,4.64,0.0,15.53,0.0,39.36,10.82,0.0
11,10,7,126.27109999999999,13.0,267.52,78.75,2118.64,623.66,57.3,3.53,453.8,27.97,7.0,141.21,54.42,43.93,42.87,0.0,19.38,0.0,9.78,9.59,0.0,13.72,0.0,22.27,22.38,0.0
